id_vehiculo,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,año_vehiculo
47,TOYOTA,RAV4,CAMIONETA,2015
48,TOYOTA,SIENNA,CAMIONETA,2015
49,TOYOTA,YARIS,CAMIONETA,2016
50,TOYOTA,MR2,CAMIONETA,2015
51,TOYOTA,HIACE,CAMIONETA,2014
59,TOYOTA,AVENSIS,CAMIONETA,2013
65,TOYOTA,COROLLA,CAMIONETA,2016
66,TOYOTA,MATRIX,CAMIONETA,2012
67,TOYOTA,4 RUNNER,CAMIONETA,2017
68,TOYOTA,LAND CRUISER,CAMIONETA,2013
74,VOLVO,C30,AUTOBUS,2015
75,VOLVO,XC60,AUTOBUS,2016
76,VOLVO,S60,CAMIÓN,2015
77,VOLVO,S70,CAMIÓN,2012
78,VOLVO,S80,CAMIÓN,2017
79,VOLVO,V40,CAMIÓN,2017
80,VOLVO,V50,CAMIÓN,2013
81,VOLVO,V70,CAMIÓN,2015
82,VOLVO,XC70,CAMIÓN,2012
83,VOLVO,XC90,CAMIÓN,2013
84,VOLVO,V60,CAMIÓN,2016
85,VOLVO,S40,CAMIÓN,2015
86,VOLVO,C70,CAMIÓN,2017
87,VOLVO,C30,CAMIÓN,2012
88,VOLVO,XC60,CAMIÓN,2015
89,VOLVO,S70,CAMIÓN,2013
90,VOLVO,S80,CAMIÓN,2015
91,VOLVO,V40,CAMIÓN,2013
92,VOLVO,V50,CAMIÓN,2015
93,VOLVO,V70,CAMIÓN,2017
94,VOLVO,XC70,CAMIÓN,2014
95,VOLVO,XC90,CAMIÓN,2017
96,VOLVO,V60,CAMIÓN,2017
98,SUZUKI,GRAND VITARA,CAMIONETA,2015
99,SUZUKI,SWIFT,CAMIONETA,2015
100,SUZUKI,XL7,CAMIONETA,2013
101,SUZUKI,SX4,CAMIONETA,2017
102,SUZUKI,KIZASHI,CAMIONETA,2017
109,SUZUKI,SWIFT,CAMIONETA,2016
115,SUZUKI,251-650,CAMIONETA,2012
139,TOYOTA,RAV4,CAMIONETA,2012
140,TOYOTA,SIENNA,CAMIONETA,2017
141,TOYOTA,YARIS,CAMIONETA,2015
142,TOYOTA,MR2,CAMIONETA,2012
143,TOYOTA,HIACE,CAMIONETA,2016
151,TOYOTA,AVENSIS,CAMIONETA,2015
156,TOYOTA,COROLLA,CAMIONETA,2017
157,TOYOTA,MATRIX,CAMIONETA,2013
158,TOYOTA,4 RUNNER,CAMIONETA,2012
174,HYUNDAI,SANTA FE,CAMIONETA,2017
175,HYUNDAI,SANTA FE,CAMIONETA,2014
176,HYUNDAI,SANTA FE,CAMIONETA,2016
177,HYUNDAI,SANTA FE,CAMIONETA,2013
178,HYUNDAI,SANTA FE,CAMIONETA,2012
179,HYUNDAI,SANTA FE,CAMIONETA,2015
