ID,datekey,Canal,Cliente,Segmento,Vehiculo,Costo Vehículo,Precio Venta sin IGV,IGV,Sede,Vendedor
4114,20160702,6,143,Persona,167,18199.8904,24751.851,0.18,4,10
4115,20160702,6,879,Persona,5,17132.9538,25699.4308,0.18,4,10
4116,20160702,6,394,Persona,138,17348.4811,24634.8431,0.18,4,10
4117,20160702,6,877,Persona,54,17780.12,24003.162,0.18,4,10
4181,20160628,6,1089,Persona,15,17195.1571,26824.4451,0.18,4,10
4182,20160628,6,52,Persona,140,17251.5879,25187.3183,0.18,4,10
4183,20160628,6,775,Persona,121,17060.5781,25420.2614,0.18,4,10
4184,20160628,6,98,Persona,41,17558.8369,27918.5507,0.18,4,10
4425,20160613,6,920,Persona,92,17448.8832,23207.0146,0.18,4,10
4426,20160613,6,482,Persona,18,17472.3209,23937.0797,0.18,4,10
4427,20160613,6,955,Persona,139,17052.093,27283.3487,0.18,4,10
4428,20160613,6,440,Persona,138,17348.4811,26022.7216,0.18,4,10
5169,20160503,6,719,Persona,8,18283.6954,27059.8691,0.18,4,10
5170,20160503,6,943,Persona,34,17408.408,26808.9483,0.18,4,10
5171,20160503,6,181,Persona,25,17496.8069,24495.5297,0.18,4,10
5172,20160503,6,46,Persona,2,16713.2222,21894.3211,0.18,4,10
5255,20160429,6,256,Persona,139,17052.093,26089.7022,0.18,4,10
5256,20160429,6,389,Persona,59,18055.7447,27625.2894,0.18,4,10
5257,20160429,6,529,Persona,124,17481.4583,26222.1875,0.18,4,10
5258,20160429,6,825,Persona,67,17674.0933,27394.8447,0.18,4,10
5279,20160428,6,1013,Persona,172,17640.3286,25225.6699,0.18,4,10
5280,20160428,6,95,Persona,112,17400.1259,25230.1826,0.18,4,10
5281,20160428,6,343,Persona,124,17481.4583,27271.075,0.18,4,10
5282,20160428,6,633,Persona,51,17423.0083,24043.7515,0.18,4,10
5347,20160424,6,246,Persona,38,18084.4457,27850.0464,0.18,4,10
5348,20160424,6,456,Persona,76,17616.371,25015.2469,0.18,4,10
5349,20160424,6,557,Persona,143,17615.8517,27480.7286,0.18,4,10
5350,20160424,6,368,Persona,97,17455.3364,24612.0243,0.18,4,10
6272,20160303,6,1166,Persona,68,17204.4696,27011.0172,0.18,4,10
6273,20160303,6,707,Persona,134,17904.3146,25245.0836,0.18,4,10
6274,20160303,6,807,Persona,83,17259.0,25198.14,0.18,4,10
6275,20160303,6,539,Persona,175,17766.5556,26827.4989,0.18,4,10
6295,20160302,6,240,Persona,175,17766.5556,26472.1678,0.18,4,10
6296,20160302,6,199,Persona,45,17403.9439,26628.0342,0.18,4,10
6297,20160302,6,539,Persona,46,16640.1123,24960.1685,0.18,4,10
6298,20160302,6,886,Persona,141,18733.9543,27164.2337,0.18,4,10
6590,20160217,6,308,Persona,127,17831.8761,23359.7577,0.18,4,10
6591,20160217,6,872,Persona,21,17975.7649,25345.8285,0.18,4,10
6592,20160217,6,1096,Persona,149,17525.4202,24710.8425,0.18,4,10
6593,20160217,6,450,Persona,124,17481.4583,26571.8167,0.18,4,10
6767,20160208,6,58,Persona,158,17344.6449,23068.3778,0.18,4,10
6768,20160208,6,792,Persona,50,16277.7973,22137.8043,0.18,4,10
6769,20160208,6,735,Persona,56,17321.6625,22691.3779,0.18,4,10
6770,20160208,6,527,Persona,171,16709.9392,22558.418,0.18,4,10
7028,20160123,6,389,Persona,106,17558.5944,26689.0634,0.18,4,10
7029,20160123,6,1147,Persona,50,16277.7973,23114.4722,0.18,4,10
7030,20160123,6,153,Persona,40,16916.2522,23175.2655,0.18,4,10
7031,20160123,6,873,Persona,20,17542.8297,24559.9616,0.18,4,10
7803,20151210,6,298,Persona,110,17185.4921,24059.689,0.18,4,10
7804,20151210,6,357,Persona,162,18489.8026,28474.296,0.18,4,10
7805,20151210,6,875,Persona,157,18057.8296,27086.7444,0.18,4,10
7806,20151210,6,1069,Persona,14,16785.0514,26016.8297,0.18,4,10
7915,20151205,6,1078,Persona,127,17831.8761,27996.0455,0.18,4,10
7916,20151205,6,85,Persona,147,17281.0986,24539.16,0.18,4,10
7917,20151205,6,502,Persona,23,17002.5247,23463.4841,0.18,4,10
7918,20151205,6,1149,Persona,113,17948.6684,24051.2157,0.18,4,10
7927,20151204,6,295,Persona,63,17379.3034,23635.8527,0.18,4,10
7928,20151204,6,728,Persona,40,16916.2522,25205.2157,0.18,4,10
7929,20151204,6,134,Persona,59,18055.7447,24736.3703,0.18,4,10
7930,20151204,6,356,Persona,64,17115.1125,24988.0642,0.18,4,10
8212,20151119,6,399,Persona,54,17780.12,27381.3848,0.18,4,10
8213,20151119,6,710,Persona,59,18055.7447,28347.5192,0.18,4,10
8214,20151119,6,1102,Persona,22,17918.5433,24906.7752,0.18,4,10
8215,20151119,6,283,Persona,92,17448.8832,25649.8582,0.18,4,10
8360,20151110,6,385,Persona,44,17856.9977,23214.097,0.18,4,10
8361,20151110,6,534,Persona,120,17585.6071,28136.9714,0.18,4,10
8362,20151110,6,739,Persona,80,17378.0475,23460.3641,0.18,4,10
8363,20151110,6,41,Persona,17,18067.7118,25475.4736,0.18,4,10
8628,20151029,6,264,Persona,141,18733.9543,28662.9501,0.18,4,10
8629,20151029,6,700,Persona,172,17640.3286,27166.106,0.18,4,10
8630,20151029,6,713,Persona,31,16480.0186,21424.0242,0.18,4,10
8631,20151029,6,268,Persona,154,17280.4071,27130.2392,0.18,4,10
8891,20151015,6,1018,Persona,53,16746.6324,22273.0211,0.18,4,10
8892,20151015,6,748,Persona,105,18157.1783,26146.3368,0.18,4,10
8893,20151015,6,546,Persona,141,18733.9543,26227.536,0.18,4,10
8894,20151015,6,265,Persona,63,17379.3034,26937.9203,0.18,4,10
9022,20151009,6,861,Persona,52,17750.2457,25027.8465,0.18,4,10
9023,20151009,6,1144,Persona,124,17481.4583,25173.3,0.18,4,10
9024,20151009,6,171,Persona,78,17115.384,26186.5375,0.18,4,10
9025,20151009,6,561,Persona,17,18067.7118,26559.5363,0.18,4,10
9964,20150817,6,1093,Persona,12,17374.121,24150.0283,0.18,4,10
9965,20150817,6,963,Persona,102,17736.3395,26427.1458,0.18,4,10
9966,20150817,6,855,Persona,15,17195.1571,22869.559,0.18,4,10
9967,20150817,6,890,Persona,101,17492.7954,23790.2018,0.18,4,10
10608,20150719,6,872,Persona,151,17111.3824,24127.0491,0.18,4,10
10609,20150719,6,715,Persona,107,17260.4854,22956.4455,0.18,4,10
10610,20150719,6,4,Persona,99,17414.9711,27689.804,0.18,4,10
10611,20150719,6,385,Persona,93,16751.329,23619.3738,0.18,4,10
10970,20150629,6,187,Persona,96,17142.037,26741.5778,0.18,4,10
10971,20150629,6,726,Persona,169,17928.3266,26713.2066,0.18,4,10
10972,20150629,6,45,Persona,132,17145.7891,22975.3574,0.18,4,10
10973,20150629,6,660,Persona,129,17768.6268,27008.3128,0.18,4,10
11116,20150620,6,826,Persona,58,17594.3922,25863.7566,0.18,4,10
11117,20150620,6,442,Persona,1,16766.9526,26827.1242,0.18,4,10
11118,20150620,6,812,Persona,110,17185.4921,25434.5283,0.18,4,10
11385,20150605,6,695,Persona,159,17331.0141,24263.4198,0.18,4,10
11386,20150605,6,517,Persona,157,18057.8296,26183.853,0.18,4,10
11387,20150605,6,686,Persona,70,17297.2324,27675.5718,0.18,4,10
11388,20150605,6,635,Persona,177,16593.255,25055.815,0.18,4,10
11803,20150517,6,925,Persona,158,17344.6449,24455.9494,0.18,4,10
11804,20150517,6,842,Persona,130,17890.893,27015.2484,0.18,4,10
11805,20150517,6,1150,Persona,51,17423.0083,26831.4328,0.18,4,10
11806,20150517,6,165,Persona,47,17249.4684,26564.1813,0.18,4,10
12456,20150406,6,739,Persona,17,18067.7118,28366.3075,0.18,4,10
12457,20150406,6,616,Persona,167,18199.8904,24387.8532,0.18,4,10
12458,20150406,6,758,Persona,139,17052.093,26601.265,0.18,4,10
12459,20150406,6,51,Persona,20,17542.8297,24209.105,0.18,4,10
12679,20150323,6,999,Persona,49,17269.32,23831.6616,0.18,4,10
12680,20150323,6,83,Persona,7,17720.0447,27643.2698,0.18,4,10
12681,20150323,6,833,Persona,140,17251.5879,23289.6436,0.18,4,10
12682,20150323,6,378,Persona,64,17115.1125,24303.4598,0.18,4,10
12948,20150308,6,1136,Persona,41,17558.8369,25109.1368,0.18,4,10
12949,20150308,6,343,Persona,15,17195.1571,25448.8326,0.18,4,10
12950,20150308,6,681,Persona,161,16580.2274,25201.9456,0.18,4,10
12951,20150308,6,236,Persona,155,17907.6649,25070.7308,0.18,4,10
13454,20150204,6,539,Persona,173,17446.5585,26693.2346,0.18,4,10
13455,20150204,6,466,Persona,17,18067.7118,28366.3075,0.18,4,10
13456,20150204,6,959,Persona,72,17714.4702,27988.8629,0.18,4,10
13533,20150201,6,1092,Persona,138,17348.4811,22899.995,0.18,4,10
13534,20150201,6,64,Persona,105,18157.1783,27417.3392,0.18,4,10
13535,20150201,6,354,Persona,115,18308.6794,27646.106,0.18,4,10
13536,20150201,6,1043,Persona,91,18290.6647,26887.2771,0.18,4,10
13941,20150113,6,1164,Persona,77,17265.6593,23135.9834,0.18,4,10
13942,20150113,6,772,Persona,164,16713.9247,25070.8871,0.18,4,10
13943,20150113,6,6,Persona,21,17975.7649,26963.6473,0.18,4,10
13944,20150113,6,540,Persona,62,17052.0326,26771.6912,0.18,4,10
83,20170416,8,833,Persona,96,17142.037,24341.6926,0.18,4,10
84,20170415,8,816,Persona,151,17111.3824,25838.1874,0.18,4,10
85,20170414,8,893,Persona,4,17688.2122,25824.7898,0.18,4,10
86,20170413,8,536,Persona,20,17542.8297,26138.8163,0.18,4,10
343,20170129,8,839,Persona,79,17682.6483,22987.4428,0.18,4,10
344,20170129,8,112,Persona,127,17831.8761,24251.3515,0.18,4,10
345,20170129,8,954,Persona,106,17558.5944,24757.6181,0.18,4,10
346,20170129,8,796,Persona,106,17558.5944,26513.4775,0.18,4,10
347,20170129,8,654,Persona,50,16277.7973,22300.5823,0.18,4,10
348,20170129,8,285,Persona,20,17542.8297,27191.386,0.18,4,10
349,20170129,8,1073,Persona,117,16779.5022,24330.2782,0.18,4,10
1268,20161211,8,1027,Persona,19,16960.2,27136.32,0.18,4,10
1269,20161211,8,670,Persona,121,17060.5781,24396.6267,0.18,4,10
1270,20161211,8,1172,Persona,20,17542.8297,25437.1031,0.18,4,10
1271,20161211,8,298,Persona,69,17785.2776,26855.7692,0.18,4,10
1422,20161203,8,907,Persona,39,17190.856,24582.9241,0.18,4,10
1423,20161203,8,1138,Persona,119,17266.89,23828.3082,0.18,4,10
1424,20161203,8,809,Persona,177,16593.255,24060.2198,0.18,4,10
1425,20161203,8,181,Persona,113,17948.6684,27820.436,0.18,4,10
1491,20161130,8,805,Persona,174,17365.9725,25875.299,0.18,4,10
1492,20161130,8,922,Persona,179,17459.2253,23744.5464,0.18,4,10
1493,20161130,8,92,Persona,105,18157.1783,28506.77,0.18,4,10
1494,20161130,8,783,Persona,32,17718.1692,28349.0708,0.18,4,10
2028,20161029,8,565,Persona,18,17472.3209,23412.91,0.18,4,10
2029,20161029,8,533,Persona,152,16594.1316,22733.9604,0.18,4,10
2030,20161029,8,536,Persona,4,17688.2122,27416.7289,0.18,4,10
2444,20161007,8,499,Persona,179,17459.2253,23046.1774,0.18,4,10
2445,20161007,8,1160,Persona,87,17910.5681,27403.1692,0.18,4,10
2446,20161007,8,878,Persona,171,16709.9392,22725.5174,0.18,4,10
2447,20161007,8,597,Persona,103,17950.1111,26925.1667,0.18,4,10
2759,20160918,8,45,Persona,98,17906.5446,24352.9006,0.18,4,10
2760,20160918,8,162,Persona,172,17640.3286,27871.7191,0.18,4,10
2761,20160918,8,779,Persona,129,17768.6268,28429.8029,0.18,4,10
2762,20160918,8,497,Persona,60,17267.65,25383.4455,0.18,4,10
3978,20160708,8,654,Persona,112,17400.1259,26448.1914,0.18,4,10
3979,20160708,8,544,Persona,122,16910.643,25873.2838,0.18,4,10
3980,20160708,8,698,Persona,140,17251.5879,25014.8024,0.18,4,10
3981,20160708,8,732,Persona,125,17255.4857,22949.796,0.18,4,10
4358,20160617,8,205,Persona,118,17936.6451,26187.5018,0.18,4,10
4359,20160617,8,592,Persona,70,17297.2324,22486.4021,0.18,4,10
4360,20160617,8,1054,Persona,97,17455.3364,24437.4709,0.18,4,10
4361,20160617,8,987,Persona,42,17564.1448,24941.0857,0.18,4,10
4771,20160524,8,428,Persona,112,17400.1259,23664.1713,0.18,4,10
4772,20160524,8,582,Persona,108,18215.7071,26594.9324,0.18,4,10
4773,20160524,8,792,Persona,76,17616.371,26600.7203,0.18,4,10
4774,20160524,8,8,Persona,170,17394.4193,27135.2941,0.18,4,10
5673,20160407,8,479,Persona,20,17542.8297,24559.9616,0.18,4,10
5674,20160407,8,948,Persona,79,17682.6483,23517.9222,0.18,4,10
5675,20160407,8,1152,Persona,124,17481.4583,26397.0021,0.18,4,10
5676,20160407,8,812,Persona,80,17378.0475,25024.3884,0.18,4,10
5916,20160322,8,214,Persona,17,18067.7118,25294.7965,0.18,4,10
5917,20160322,8,860,Persona,33,17013.6929,22287.9376,0.18,4,10
5918,20160322,8,848,Persona,131,16901.265,22478.6824,0.18,4,10
5919,20160322,8,1107,Persona,24,17133.0786,25699.6179,0.18,4,10
5940,20160321,8,961,Persona,15,17195.1571,26824.4451,0.18,4,10
5941,20160321,8,232,Persona,140,17251.5879,22599.5801,0.18,4,10
5942,20160321,8,28,Persona,66,18315.015,28754.5736,0.18,4,10
5943,20160321,8,1023,Persona,92,17448.8832,23904.9699,0.18,4,10
6152,20160310,8,753,Persona,121,17060.5781,22861.1747,0.18,4,10
6153,20160310,8,622,Persona,98,17906.5446,23815.7043,0.18,4,10
6154,20160310,8,596,Persona,129,17768.6268,24698.3913,0.18,4,10
6155,20160310,8,410,Persona,145,17365.5349,27090.2344,0.18,4,10
6156,20160310,8,955,Persona,44,17856.9977,28571.1963,0.18,4,10
6157,20160310,8,600,Persona,159,17331.0141,26516.4516,0.18,4,10
6158,20160310,8,1127,Persona,59,18055.7447,28708.6341,0.18,4,10
6159,20160310,8,572,Persona,13,17250.3325,27255.5254,0.18,4,10
6179,20160309,8,96,Persona,120,17585.6071,25850.8425,0.18,4,10
6180,20160309,8,1113,Persona,42,17564.1448,25819.2929,0.18,4,10
6181,20160309,8,1048,Persona,109,17631.1562,24683.6186,0.18,4,10
6182,20160309,8,828,Persona,71,17776.2143,28086.4186,0.18,4,10
6833,20160203,8,39,Persona,168,17486.2304,26229.3456,0.18,4,10
6834,20160203,8,335,Persona,93,16751.329,25797.0466,0.18,4,10
6835,20160203,8,207,Persona,141,18733.9543,27913.5919,0.18,4,10
6836,20160203,8,67,Persona,161,16580.2274,22051.7024,0.18,4,10
7651,20151221,8,945,Persona,90,17323.1615,25638.2791,0.18,4,10
7652,20151221,8,956,Persona,108,18215.7071,24955.5188,0.18,4,10
7653,20151221,8,574,Persona,110,17185.4921,23544.1242,0.18,4,10
7654,20151221,8,691,Persona,137,17781.9037,26317.2175,0.18,4,10
7853,20151209,8,336,Persona,61,17536.8308,23323.9849,0.18,4,10
7854,20151209,8,222,Persona,99,17414.9711,27863.9537,0.18,4,10
7855,20151209,8,95,Persona,48,17018.6602,23315.5645,0.18,4,10
7856,20151209,8,995,Persona,76,17616.371,25896.0654,0.18,4,10
8037,20151129,8,881,Persona,6,17052.4917,26772.4119,0.18,4,10
8038,20151129,8,872,Persona,53,16746.6324,22440.4875,0.18,4,10
8039,20151129,8,164,Persona,79,17682.6483,27584.9313,0.18,4,10
8040,20151129,8,698,Persona,67,17674.0933,22976.3213,0.18,4,10
8278,20151115,8,88,Persona,15,17195.1571,23901.2684,0.18,4,10
8279,20151115,8,431,Persona,8,18283.6954,29253.9126,0.18,4,10
8280,20151115,8,855,Persona,139,17052.093,26942.3069,0.18,4,10
8281,20151115,8,756,Persona,160,16786.0843,23332.6572,0.18,4,10
8478,20151104,8,365,Persona,158,17344.6449,22894.9313,0.18,4,10
8479,20151104,8,1106,Persona,22,17918.5433,25444.3315,0.18,4,10
8480,20151104,8,760,Persona,21,17975.7649,23368.4943,0.18,4,10
8481,20151104,8,317,Persona,178,17336.9475,26525.5297,0.18,4,10
8735,20151024,8,1011,Persona,21,17975.7649,26963.6473,0.18,4,10
8736,20151024,8,936,Persona,53,16746.6324,21938.0885,0.18,4,10
8737,20151024,8,446,Persona,64,17115.1125,25159.2154,0.18,4,10
9328,20150923,8,1113,Persona,76,17616.371,25719.9017,0.18,4,10
9329,20150923,8,344,Persona,108,18215.7071,24591.2046,0.18,4,10
9330,20150923,8,917,Persona,103,17950.1111,26386.6633,0.18,4,10
9331,20150923,8,342,Persona,134,17904.3146,27751.6877,0.18,4,10
10152,20150809,8,200,Persona,71,17776.2143,26486.5593,0.18,4,10
10153,20150809,8,1161,Persona,172,17640.3286,28048.1224,0.18,4,10
10154,20150809,8,329,Persona,16,17717.8557,27462.6763,0.18,4,10
10155,20150809,8,812,Persona,41,17558.8369,26689.4321,0.18,4,10
10431,20150727,8,264,Persona,100,18028.7368,24519.0821,0.18,4,10
10432,20150727,8,667,Persona,166,18141.0,26304.45,0.18,4,10
10433,20150727,8,17,Persona,115,18308.6794,25082.8908,0.18,4,10
10434,20150727,8,495,Persona,144,17190.175,25441.459,0.18,4,10
10455,20150726,8,701,Persona,46,16640.1123,24960.1685,0.18,4,10
10456,20150726,8,24,Persona,48,17018.6602,27229.8564,0.18,4,10
10457,20150726,8,617,Persona,7,17720.0447,28174.8711,0.18,4,10
10458,20150726,8,561,Persona,166,18141.0,28481.37,0.18,4,10
10527,20150723,8,1089,Persona,66,18315.015,25824.1712,0.18,4,10
10528,20150723,8,134,Persona,120,17585.6071,26202.5546,0.18,4,10
10529,20150723,8,1072,Persona,1,16766.9526,21797.0384,0.18,4,10
10530,20150723,8,291,Persona,29,17691.8129,23353.193,0.18,4,10
10846,20150705,8,480,Persona,65,17051.4158,27282.2653,0.18,4,10
10847,20150705,8,9,Persona,122,16910.643,24520.4324,0.18,4,10
10848,20150705,8,1096,Persona,148,16964.9592,24599.1909,0.18,4,10
10849,20150705,8,874,Persona,66,18315.015,28937.7237,0.18,4,10
10866,20150704,8,107,Persona,18,17472.3209,27431.5439,0.18,4,10
10867,20150704,8,1054,Persona,167,18199.8904,25115.8488,0.18,4,10
10868,20150704,8,103,Persona,178,17336.9475,25138.5739,0.18,4,10
10869,20150704,8,741,Persona,58,17594.3922,23928.3734,0.18,4,10
11617,20150525,8,1109,Persona,120,17585.6071,27081.835,0.18,4,10
11618,20150525,8,488,Persona,10,16247.0667,21121.1867,0.18,4,10
11619,20150525,8,21,Persona,16,17717.8557,27108.3192,0.18,4,10
11620,20150525,8,363,Persona,132,17145.7891,26575.9732,0.18,4,10
12017,20150504,8,148,Persona,108,18215.7071,24773.3617,0.18,4,10
12018,20150504,8,960,Persona,95,17671.2468,28097.2823,0.18,4,10
12019,20150504,8,474,Persona,47,17249.4684,22941.7929,0.18,4,10
12020,20150504,8,880,Persona,131,16901.265,22140.6572,0.18,4,10
12303,20150414,8,1011,Persona,13,17250.3325,26738.0154,0.18,4,10
12304,20150414,8,164,Persona,122,16910.643,22491.1552,0.18,4,10
12305,20150414,8,326,Persona,179,17459.2253,26014.2457,0.18,4,10
12306,20150414,8,1089,Persona,84,18439.7743,26184.4795,0.18,4,10
12888,20150311,8,280,Persona,44,17856.9977,26071.2166,0.18,4,10
12889,20150311,8,879,Persona,60,17267.65,25383.4455,0.18,4,10
12890,20150311,8,599,Persona,64,17115.1125,25672.6688,0.18,4,10
12891,20150311,8,539,Persona,100,18028.7368,27583.9674,0.18,4,10
13000,20150303,8,904,Persona,78,17115.384,25330.7683,0.18,4,10
13001,20150303,8,404,Persona,133,17412.1905,25595.92,0.18,4,10
13002,20150303,8,86,Persona,70,17297.2324,26983.6825,0.18,4,10
13003,20150303,8,917,Persona,105,18157.1783,24875.3343,0.18,4,10
13104,20150226,8,279,Persona,137,17781.9037,27384.1317,0.18,4,10
13105,20150226,8,922,Persona,35,17928.1954,24561.6276,0.18,4,10
13106,20150226,8,1001,Persona,41,17558.8369,25109.1368,0.18,4,10
13529,20150201,8,701,Persona,44,17856.9977,23571.2369,0.18,4,10
13530,20150201,8,928,Persona,129,17768.6268,25586.8226,0.18,4,10
13531,20150201,8,594,Persona,43,18339.896,27876.6419,0.18,4,10
13532,20150201,8,609,Persona,25,17496.8069,23795.6574,0.18,4,10
627,20170114,1,257,Persona,147,17281.0986,23329.4831,0.18,4,10
628,20170114,1,1154,Persona,173,17446.5585,26344.3034,0.18,4,10
629,20170114,1,670,Persona,95,17671.2468,28097.2823,0.18,4,10
630,20170114,1,599,Persona,139,17052.093,27283.3487,0.18,4,10
669,20170112,1,610,Persona,21,17975.7649,23907.7673,0.18,4,10
670,20170112,1,23,Persona,129,17768.6268,25231.4501,0.18,4,10
671,20170112,1,556,Persona,79,17682.6483,24932.5341,0.18,4,10
672,20170112,1,29,Persona,147,17281.0986,24711.971,0.18,4,10
1402,20161205,1,1162,Persona,56,17321.6625,27541.4434,0.18,4,10
1403,20161205,1,565,Persona,119,17266.89,24864.3216,0.18,4,10
1404,20161205,1,457,Persona,170,17394.4193,27657.1266,0.18,4,10
1405,20161205,1,573,Persona,69,17785.2776,27745.0331,0.18,4,10
2272,20161018,1,834,Persona,23,17002.5247,25333.7618,0.18,4,10
2273,20161018,1,121,Persona,170,17394.4193,25917.6847,0.18,4,10
2274,20161018,1,727,Persona,96,17142.037,26055.8963,0.18,4,10
2866,20160912,1,859,Persona,49,17269.32,25213.2072,0.18,4,10
2867,20160912,1,117,Persona,9,17021.548,24340.8137,0.18,4,10
2868,20160912,1,526,Persona,133,17412.1905,25944.1638,0.18,4,10
2869,20160912,1,1048,Persona,40,16916.2522,27066.0035,0.18,4,10
3032,20160902,1,597,Persona,138,17348.4811,27063.6305,0.18,4,10
3033,20160902,1,1155,Persona,13,17250.3325,25875.4988,0.18,4,10
3034,20160902,1,710,Persona,116,17633.2773,24686.5882,0.18,4,10
3035,20160902,1,592,Persona,169,17928.3266,27788.9062,0.18,4,10
3126,20160825,1,937,Persona,167,18199.8904,26753.8389,0.18,4,10
3127,20160825,1,841,Persona,157,18057.8296,24919.8049,0.18,4,10
3128,20160825,1,358,Persona,118,17936.6451,25470.036,0.18,4,10
3129,20160825,1,852,Persona,69,17785.2776,27389.3276,0.18,4,10
3543,20160730,1,1073,Persona,88,16966.7553,23583.7899,0.18,4,10
3544,20160730,1,599,Persona,5,17132.9538,22444.1695,0.18,4,10
3545,20160730,1,122,Persona,72,17714.4702,27634.5735,0.18,4,10
3546,20160730,1,584,Persona,151,17111.3824,25667.0735,0.18,4,10
4297,20160622,1,513,Persona,23,17002.5247,24993.7113,0.18,4,10
4298,20160622,1,1034,Persona,53,16746.6324,22607.9538,0.18,4,10
4299,20160622,1,507,Persona,167,18199.8904,27299.8356,0.18,4,10
4300,20160622,1,469,Persona,149,17525.4202,24535.5883,0.18,4,10
4902,20160516,1,1032,Persona,89,17104.9976,24631.1966,0.18,4,10
4903,20160516,1,1177,Persona,24,17133.0786,25870.9486,0.18,4,10
4904,20160516,1,571,Persona,76,17616.371,25367.5743,0.18,4,10
4905,20160516,1,454,Persona,24,17133.0786,23986.31,0.18,4,10
5328,20160426,1,688,Persona,151,17111.3824,24298.1629,0.18,4,10
5329,20160426,1,96,Persona,13,17250.3325,25702.9955,0.18,4,10
5330,20160426,1,763,Persona,22,17918.5433,28132.113,0.18,4,10
5331,20160426,1,587,Persona,152,16594.1316,25720.904,0.18,4,10
5576,20160413,1,240,Persona,135,17744.5793,26794.3148,0.18,4,10
5577,20160413,1,118,Persona,124,17481.4583,23250.3396,0.18,4,10
5578,20160413,1,201,Persona,140,17251.5879,24669.7707,0.18,4,10
5579,20160413,1,958,Persona,142,17184.529,26464.1746,0.18,4,10
5928,20160322,1,804,Persona,101,17492.7954,23790.2018,0.18,4,10
5929,20160322,1,690,Persona,87,17910.5681,27940.4862,0.18,4,10
5930,20160322,1,476,Persona,18,17472.3209,23937.0797,0.18,4,10
5931,20160322,1,733,Persona,171,16709.9392,22057.1198,0.18,4,10
6328,20160301,1,565,Persona,132,17145.7891,26404.5153,0.18,4,10
6329,20160301,1,654,Persona,138,17348.4811,27410.6001,0.18,4,10
6330,20160301,1,900,Persona,156,17112.6217,24299.9228,0.18,4,10
6331,20160301,1,213,Persona,33,17013.6929,22287.9376,0.18,4,10
6653,20160214,1,221,Persona,85,17594.584,25864.0385,0.18,4,10
6654,20160214,1,502,Persona,73,17036.0651,27257.7042,0.18,4,10
6655,20160214,1,996,Persona,44,17856.9977,26606.9265,0.18,4,10
6656,20160214,1,383,Persona,127,17831.8761,27282.7704,0.18,4,10
6904,20160130,1,848,Persona,151,17111.3824,26180.415,0.18,4,10
6905,20160130,1,113,Persona,95,17671.2468,25446.5953,0.18,4,10
6906,20160130,1,798,Persona,135,17744.5793,27858.9895,0.18,4,10
6907,20160130,1,557,Persona,54,17780.12,27736.9872,0.18,4,10
7134,20160120,1,301,Persona,83,17259.0,26578.86,0.18,4,10
7135,20160120,1,193,Persona,11,17262.6083,23649.7734,0.18,4,10
7136,20160120,1,30,Persona,95,17671.2468,26860.2951,0.18,4,10
7137,20160120,1,937,Persona,150,17594.2658,23752.2588,0.18,4,10
7364,20160109,1,142,Persona,35,17928.1954,26354.4472,0.18,4,10
